LearningArea,Subject,Pathway,Sequence,Level,Strand,Substrand,CdCode,ContentDesc,CCP
Science,Science,,,Year 8,Science Inquiry Skills,Planning and conducting,ACSIS140,"Collaboratively and individually plan and conduct a range of investigation types, including fieldwork and experiments, ensuring safety and ethical guidelines are followed",
Science,Science,,,Year 8,Science Inquiry Skills,Planning and conducting,ACSIS141,"Measure and control variables, select equipment appropriate to the task and collect data with accuracy",
Science,Science,,,Year 8,Science Inquiry Skills,Processing and analysing data and information,ACSIS144,"Construct and use a range of representations, including graphs, keys and models to represent and analyse patterns or relationships in data using digital technologies as appropriate",
Science,Science,,,Year 8,Science Inquiry Skills,Processing and analysing data and information,ACSIS145,"Summarise data, from students’ own investigations and secondary sources, and use scientific understanding to identify relationships and draw conclusions based on evidence",
Science,Science,,,Year 8,Science Inquiry Skills,Evaluating,ACSIS146,"Reflect on scientific investigations including evaluating the quality of the data collected, and identifying improvements",
Science,Science,,,Year 8,Science Inquiry Skills,Evaluating,ACSIS234,Use scientific knowledge and findings from investigations to evaluate claims based on evidence,
Science,Science,,,Year 8,Science Inquiry Skills,Communicating,ACSIS148,"Communicate ideas, findings and evidence based solutions to problems using scientific language, and representations, using digital technologies as appropriate",
Science,Science,,,Year 9,Science Understanding,Biological  sciences,ACSSU175,Multi-cellular organisms rely on coordinated and interdependent internal systems to respond to changes to their environment,
Science,Science,,,Year 9,Science Understanding,Biological  sciences,ACSSU176,Ecosystems consist of communities of interdependent organisms and abiotic components of the environment; matter and energy flow through these systems,Sustainability
Science,Science,,,Year 9,Science Understanding,Chemical sciences,ACSSU177,"All matter is made of atoms that are composed of protons, neutrons and electrons; natural radioactivity arises from the decay of nuclei in atoms",
Science,Science,,,Year 9,Science Understanding,Chemical sciences,ACSSU178,Chemical reactions involve rearranging atoms to form new substances; during a chemical reaction mass is not created or destroyed,
Science,Science,,,Year 9,Science Understanding,Chemical sciences,ACSSU179,"Chemical reactions, including combustion and the reactions of acids, are important in both non-living and living systems and involve energy transfer",Sustainability
Science,Science,,,Year 9,Science Understanding,Earth and space sciences,ACSSU180,The theory of plate tectonics explains global patterns of geological activity and continental movement,
Science,Science,,,Year 9,Science Understanding,Physical sciences,ACSSU182,Energy transfer through different mediums can be explained using wave and particle models,
Science,Science,,,Year 9,Science as a Human Endeavour,Nature and development  of science,ACSHE157,"Scientific understanding, including models and theories, is contestable and is refined over time through a process of review by the scientific community",
Science,Science,,,Year 9,Science as a Human Endeavour,Nature and development  of science,ACSHE158,Advances in scientific understanding often rely on technological advances and are often linked to scientific discoveries,
Science,Science,,,Year 9,Science as a Human Endeavour,Use and influence of science,ACSHE160,"People use scientific knowledge to evaluate whether they accept claims, explanations or predictions, and advances in science can affect people’s lives, including generating new career opportunities",
Science,Science,,,Year 9,Science as a Human Endeavour,Use and influence of science,ACSHE228,Values and needs of contemporary society can influence the focus of scientific research,
Science,Science,,,Year 9,Science Inquiry Skills,Questioning and predicting,ACSIS164,Formulate questions or hypotheses that can be investigated scientifically,
Science,Science,,,Year 9,Science Inquiry Skills,Planning and conducting,ACSIS165,"Plan, select and use appropriate investigation types, including field work and laboratory experimentation, to collect reliable data; assess risk and address ethical issues associated with these methods",
Science,Science,,,Year 9,Science Inquiry Skills,Planning and conducting,ACSIS166,"Select and use appropriate equipment, including digital technologies, to collect and record data systematically and accurately",
Science,Science,,,Year 9,Science Inquiry Skills,Processing and analysing data and information,ACSIS169,"Analyse patterns and trends in data, including describing relationships between variables and identifying inconsistencies",
Science,Science,,,Year 9,Science Inquiry Skills,Processing and analysing data and information,ACSIS170,Use knowledge of scientific concepts to draw conclusions that are consistent with evidence,
Science,Science,,,Year 9,Science Inquiry Skills,Evaluating,ACSIS171,"Evaluate conclusions, including identifying sources of uncertainty and possible alternative explanations, and describe specific ways to improve the quality of the data",
Science,Science,,,Year 9,Science Inquiry Skills,Evaluating,ACSIS172,Critically analyse the validity of information in primary and secondary sources and evaluate the approaches used to solve problems,
Science,Science,,,Year 9,Science Inquiry Skills,Communicating,ACSIS174,"Communicate scientific ideas and information for a particular purpose, including constructing evidence-based arguments and using appropriate scientific language, conventions and representations",
Science,Science,,,Year 10,Science Understanding,Biological  sciences,ACSSU184,Transmission of heritable characteristics from one generation to the next involves DNA and genes,
Science,Science,,,Year 10,Science Understanding,Biological  sciences,ACSSU185,The theory of evolution by natural selection explains the diversity of living things and is supported by a range of scientific evidence,
Science,Science,,,Year 10,Science Understanding,Chemical sciences,ACSSU186,The atomic structure and properties of elements are used to organise them in the Periodic Table,
Science,Science,,,Year 10,Science Understanding,Chemical sciences,ACSSU187,Different types of chemical reactions are used to produce a range of products and can occur at different rates,
Science,Science,,,Year 10,Science Understanding,Earth and space sciences,ACSSU188,"The universe contains features including galaxies, stars and solar systems, and the Big Bang theory can be used to explain the origin of the universe",
Science,Science,,,Year 10,Science Understanding,Earth and space sciences,ACSSU189,"Global systems, including the carbon cycle, rely on interactions involving the biosphere, lithosphere, hydrosphere and atmosphere",Sustainability
Science,Science,,,Year 10,Science Understanding,Physical sciences,ACSSU190,Energy conservation in a system can be explained by describing energy transfers and transformations,
Science,Science,,,Year 10,Science Understanding,Physical sciences,ACSSU229,The motion of objects can be described and predicted using the laws of physics,
Science,Science,,,Year 10,Science as a Human Endeavour,Nature and development  of science,ACSHE191,"Scientific understanding, including models and theories, is contestable and is refined over time through a process of review by the scientific community",
Science,Science,,,Year 10,Science as a Human Endeavour,Nature and development  of science,ACSHE192,Advances in scientific understanding often rely on technological advances and are often linked to scientific discoveries,
Science,Science,,,Year 10,Science as a Human Endeavour,Use and influence of science,ACSHE194,"People use scientific knowledge to evaluate whether they accept claims, explanations or predictions, and advances in science can affect people’s lives, including generating new career opportunities",
Science,Science,,,Year 10,Science as a Human Endeavour,Use and influence of science,ACSHE230,Values and needs of contemporary society can influence the focus of scientific research,
Science,Science,,,Year 10,Science Inquiry Skills,Questioning and predicting,ACSIS198,Formulate questions or hypotheses that can be investigated scientifically,
Science,Science,,,Year 10,Science Inquiry Skills,Planning and conducting,ACSIS199,"Plan, select and use appropriate investigation types, including field work and laboratory experimentation, to collect reliable data; assess risk and address ethical issues associated with these methods",
Science,Science,,,Year 10,Science Inquiry Skills,Planning and conducting,ACSIS200,"Select and use appropriate equipment, including digital technologies, to collect and record data systematically and accurately",
Science,Science,,,Year 10,Science Inquiry Skills,Processing and analysing data and information,ACSIS203,"Analyse patterns and trends in data, including describing relationships between variables and identifying inconsistencies",
Science,Science,,,Year 10,Science Inquiry Skills,Processing and analysing data and information,ACSIS204,Use knowledge of scientific concepts to draw conclusions that are consistent with evidence,
Science,Science,,,Year 10,Science Inquiry Skills,Evaluating,ACSIS205,"Evaluate conclusions, including identifying sources of uncertainty and possible alternative explanations, and describe specific ways to improve the quality of the data",
Science,Science,,,Year 10,Science Inquiry Skills,Evaluating,ACSIS206,Critically analyse the validity of information in primary and secondary sources and evaluate the approaches used to solve problems,
Science,Science,,,Year 10,Science Inquiry Skills,Communicating,ACSIS208,"Communicate scientific ideas and information for a particular purpose, including constructing evidence-based arguments and using appropriate scientific language, conventions and representations",
Health and Physical Education,Health and Physical Education,,,Foundation Year,Personal Social and Community Health,"Being healthy, safe and active",ACPPS001,Identify personal strengths,
Health and Physical Education,Health and Physical Education,,,Foundation Year,"Personal, Social and Community Health","Being healthy, safe and active",ACPPS002,Name parts of the body and describe how their body is growing and changing,
Health and Physical Education,Health and Physical Education,,,Foundation Year,"Personal, Social and Community Health","Being healthy, safe and active",ACPPS003,Identify people and demonstrate protective behaviours and other actions that help keep themselves safe and healthy,
Health and Physical Education,Health and Physical Education,,,Foundation Year,"Personal, Social and Community Health",Communicating and interacting for health and wellbeing,ACPPS004,Practise personal and social skills to interact positively with others,
Health and Physical Education,Health and Physical Education,,,Foundation Year,"Personal, Social and Community Health",Communicating and interacting for health and wellbeing,ACPPS005,Identify and describe emotional responses people may experience in different situations,
Health and Physical Education,Health and Physical Education,,,Foundation Year,"Personal, Social and Community Health",Contributing to healthy and active communities,ACPPS006,"Identify actions that promote health, safety and wellbeing",
Health and Physical Education,Health and Physical Education,,,Foundation Year,"Personal, Social and Community Health",Contributing to healthy and active communities,ACPPS007,Participate in play that promotes engagement with outdoor settings and the natural environment,
Health and Physical Education,Health and Physical Education,,,Foundation Year,Movement and Physical Activity,Moving our body,ACPMP008,Practise fundamental movement skills and movement sequences using different body parts,
Health and Physical Education,Health and Physical Education,,,Foundation Year,Movement and Physical Activity,Moving our body,ACPMP009,Participate in games with and without equipment,
Health and Physical Education,Health and Physical Education,,,Foundation Year,Movement and Physical Activity,Understanding movement,ACPMP010,Explore how regular physical activity keeps individuals healthy and well,
Health and Physical Education,Health and Physical Education,,,Foundation Year,Movement and Physical Activity,Understanding movement,ACPMP011,"Identify and describe how their body moves in relation to effort, space, time, objects and people",
Health and Physical Education,Health and Physical Education,,,Foundation Year,Movement and Physical Activity,Learning through movement,ACPMP012,Cooperate with others when participating in physical activities,
Health and Physical Education,Health and Physical Education,,,Foundation Year,Movement and Physical Activity,Learning through movement,ACPMP013,Test possible solutions to movement challenges through trial and error,
Health and Physical Education,Health and Physical Education,,,Foundation Year,Movement and Physical Activity,Learning through movement,ACPMP014,Follow rules when participating in physical activities,
Health and Physical Education,Health and Physical Education,,,Years 1 and 2,"Personal, Social and Community Health","Being healthy, safe and active",ACPPS015,"Describe their own strengths and achievements and those of others, and identify how these contribute to personal identities",
Health and Physical Education,Health and Physical Education,,,Years 1 and 2,"Personal, Social and Community Health","Being healthy, safe and active",ACPPS016,Describe physical and social changes that occur as children grow older and discuss how family and community acknowledge these,
Health and Physical Education,Health and Physical Education,,,Years 1 and 2,"Personal, Social and Community Health","Being healthy, safe and active",ACPPS017,"Practise strategies they can use when they feel uncomfortable, unsafe or need help with a task, problem or situation",
Health and Physical Education,Health and Physical Education,,,Years 1 and 2,"Personal, Social and Community Health","Being healthy, safe and active",ACPPS018,"Recognise situations and opportunities to promote health, safety and wellbeing",
Health and Physical Education,Health and Physical Education,,,Years 1 and 2,"Personal, Social and Community Health",Communicating and interacting for health and wellbeing,ACPPS019,Describe ways to include others to make them feel they belong,
Health and Physical Education,Health and Physical Education,,,Years 1 and 2,"Personal, Social and Community Health",Communicating and interacting for health and wellbeing,ACPPS020,Identify and practise emotional responses that account for own and others’ feelings,
Health and Physical Education,Health and Physical Education,,,Years 1 and 2,"Personal, Social and Community Health",Communicating and interacting for health and wellbeing,ACPPS021,Examine health messages and how they relate to health decisions and behaviours,
Health and Physical Education,Health and Physical Education,,,Years 1 and 2,"Personal, Social and Community Health",Contributing to healthy and active communities,ACPPS022,"Explore actions that help make the classroom a healthy, safe and active place",
Health and Physical Education,Health and Physical Education,,,Years 1 and 2,"Personal, Social and Community Health",Contributing to healthy and active communities,ACPPS023,Identify and explore natural and built environments in the local community where physical activity can take place,
Health and Physical Education,Health and Physical Education,,,Years 1 and 2,"Personal, Social and Community Health",Contributing to healthy and active communities,ACPPS024,"Recognise similarities and differences in individuals and groups, and explore how these are celebrated and respected",
Health and Physical Education,Health and Physical Education,,,Years 1 and 2,Movement and Physical Activity,Moving our body,ACPMP025,Perform fundamental movement skills in a variety of movement sequences and situations,
Health and Physical Education,Health and Physical Education,,,Years 1 and 2,Movement and Physical Activity,Moving our body,ACPMP027,Create and participate in games with and without equipment,
Health and Physical Education,Health and Physical Education,,,Years 1 and 2,Movement and Physical Activity,Understanding movement,ACPMP028,Discuss the body’s reactions to participating in physical activities,
Health and Physical Education,Health and Physical Education,,,Years 1 and 2,Movement and Physical Activity,Understanding movement,ACPMP029,"Incorporate elements of effort, space, time, objects and people in performing simple movement sequences",
Health and Physical Education,Health and Physical Education,,,Years 1 and 2,Movement and Physical Activity,Learning through movement,ACPMP030,Use strategies to work in group situations when participating in physical activities,
Health and Physical Education,Health and Physical Education,,,Years 1 and 2,Movement and Physical Activity,Learning through movement,ACPMP031,Propose a range of alternatives and test their effectiveness when solving movement challenges,
Health and Physical Education,Health and Physical Education,,,Years 1 and 2,Movement and Physical Activity,Learning through movement,ACPMP032,Identify rules and fair play when participating in physical activities,
Health and Physical Education,Health and Physical Education,,,Years 3 and 4,"Personal, Social and Community Health","Being healthy, safe and active",ACPPS033,"Explore how success, challenge and failure strengthen identities",
Health and Physical Education,Health and Physical Education,,,Years 3 and 4,"Personal, Social and Community Health","Being healthy, safe and active",ACPPS034,"Explore strategies to manage physical, social and emotional change",
Health and Physical Education,Health and Physical Education,,,Years 3 and 4,"Personal, Social and Community Health","Being healthy, safe and active",ACPPS035,Describe and apply strategies that can be used in situations that make them feel uncomfortable or unsafe,
Health and Physical Education,Health and Physical Education,,,Years 3 and 4,"Personal, Social and Community Health","Being healthy, safe and active",ACPPS036,"Identify and practise strategies to promote health, safety and wellbeing",
Health and Physical Education,Health and Physical Education,,,Years 3 and 4,"Personal, Social and Community Health",Communicating and interacting for health and wellbeing,ACPPS037,"Describe how respect, empathy and valuing diversity can positively influence relationships",
Health and Physical Education,Health and Physical Education,,,Years 3 and 4,"Personal, Social and Community Health",Communicating and interacting for health and wellbeing,ACPPS038,Investigate how emotional responses vary in depth and strength,
Health and Physical Education,Health and Physical Education,,,Years 3 and 4,"Personal, Social and Community Health",Communicating and interacting for health and wellbeing,ACPPS039,Discuss and interpret health information and messages in the media and internet,
Health and Physical Education,Health and Physical Education,,,Years 3 and 4,"Personal, Social and Community Health",Contributing to healthy and active communities,ACPPS040,"Describe strategies to make the classroom and playground healthy, safe and active spaces",
Health and Physical Education,Health and Physical Education,,,Years 3 and 4,"Personal, Social and Community Health",Contributing to healthy and active communities,ACPPS041,"Participate in outdoor games and activities to examine how participation promotes a connection between the community, natural and built environments, and health and wellbeing",
Health and Physical Education,Health and Physical Education,,,Years 3 and 4,"Personal, Social and Community Health",Contributing to healthy and active communities,ACPPS042,"Research own heritage and cultural identities, and explore strategies to respect and value diversity",
Health and Physical Education,Health and Physical Education,,,Years 3 and 4,Movement and Physical Activity,Moving our body,ACPMP043,Practise and refine fundamental movement skills in a variety of movement sequences and situations,
Health and Physical Education,Health and Physical Education,,,Years 3 and 4,Movement and Physical Activity,Moving our body,ACPMP045,Practise and apply movement concepts and strategies with and without equipment,
Health and Physical Education,Health and Physical Education,,,Years 3 and 4,Movement and Physical Activity,Understanding movement,ACPMP046,Examine the benefits of physical activity to health and wellbeing,
Health and Physical Education,Health and Physical Education,,,Years 3 and 4,Movement and Physical Activity,Understanding movement,ACPMP047,"Combine elements of effort, space, time, objects and people when performing movement sequences",
Health and Physical Education,Health and Physical Education,,,Years 3 and 4,Movement and Physical Activity,Understanding movement,ACPMP108,Participate in physical activities from their own and other cultures,
Health and Physical Education,Health and Physical Education,,,Years 3 and 4,Movement and Physical Activity,Learning through movement,ACPMP048,Adopt inclusive practices when participating in physical activities,
Health and Physical Education,Health and Physical Education,,,Years 3 and 4,Movement and Physical Activity,Learning through movement,ACPMP049,Apply innovative and creative thinking in solving movement challenges,
Health and Physical Education,Health and Physical Education,,,Years 3 and 4,Movement and Physical Activity,Learning through movement,ACPMP050,"Apply basic rules and scoring systems, and demonstrate fair play when participating in physical activities",
Health and Physical Education,Health and Physical Education,,,Years 5 and 6,"Personal, Social and Community Health","Being healthy, safe and active",ACPPS051,Examine how identities are influenced by people and places,
Health and Physical Education,Health and Physical Education,,,Years 5 and 6,"Personal, Social and Community Health","Being healthy, safe and active",ACPPS052,Investigate resources and strategies to manage changes and transitions associated with puberty,
Health and Physical Education,Health and Physical Education,,,Years 5 and 6,"Personal, Social and Community Health","Being healthy, safe and active",ACPPS053,"Investigate community resources and ways to seek help about health, safety and wellbeing",
Health and Physical Education,Health and Physical Education,,,Years 5 and 6,"Personal, Social and Community Health","Being healthy, safe and active",ACPPS054,"Plan and practise strategies to promote health, safety and wellbeing",
Health and Physical Education,Health and Physical Education,,,Years 5 and 6,"Personal, Social and Community Health",Communicating and interacting for health and wellbeing,ACPPS055,Practise skills to establish and manage relationships,
Health and Physical Education,Health and Physical Education,,,Years 5 and 6,"Personal, Social and Community Health",Communicating and interacting for health and wellbeing,ACPPS056,Examine the influence of emotional responses on behaviour and relationships,
Health and Physical Education,Health and Physical Education,,,Years 5 and 6,"Personal, Social and Community Health",Communicating and interacting for health and wellbeing,ACPPS057,"Recognise how media and important people in the community influence personal attitudes, beliefs, decisions and behaviours",
Health and Physical Education,Health and Physical Education,,,Years 5 and 6,"Personal, Social and Community Health",Contributing to healthy and active communities,ACPPS058,"Investigate the role of preventive health in promoting and maintaining health, safety and wellbeing for individuals and their communities",
Health and Physical Education,Health and Physical Education,,,Years 5 and 6,"Personal, Social and Community Health",Contributing to healthy and active communities,ACPPS059,Explore how participation in outdoor activities supports personal and community health and wellbeing and creates connections to natural and built environments,
Health and Physical Education,Health and Physical Education,,,Years 5 and 6,"Personal, Social and Community Health",Contributing to healthy and active communities,ACPPS060,Identify how valuing diversity positively influences the wellbeing of the community,
Health and Physical Education,Health and Physical Education,,,Years 5 and 6,Movement and Physical Activity,Moving our body,ACPMP061,Practise specialised movement skills and apply them in a variety of movement sequences and situations,
Health and Physical Education,Health and Physical Education,,,Years 5 and 6,Movement and Physical Activity,Moving our body,ACPMP063,Propose and apply movement concepts and strategies with and without equipment,
Health and Physical Education,Health and Physical Education,,,Years 5 and 6,Movement and Physical Activity,Understanding movement,ACPMP064,"Participate in physical activities designed to enhance fitness, and discuss the impact regular participation can have on health and wellbeing",
Health and Physical Education,Health and Physical Education,,,Years 5 and 6,Movement and Physical Activity,Understanding movement,ACPMP065,"Manipulate and modify elements of effort, space, time, objects and people to perform movement sequences",
Health and Physical Education,Health and Physical Education,,,Years 5 and 6,Movement and Physical Activity,Understanding movement,ACPMP066,"Participate in physical activities from their own and others’ cultures, and examine how involvement creates community connections and intercultural understanding",
Health and Physical Education,Health and Physical Education,,,Years 5 and 6,Movement and Physical Activity,Learning through movement,ACPMP067,Participate positively in groups and teams by encouraging others and negotiating roles and responsibilities,
Health and Physical Education,Health and Physical Education,,,Years 5 and 6,Movement and Physical Activity,Learning through movement,ACPMP068,Apply critical and creative thinking processes in order to generate and assess solutions to movement challenges,
Health and Physical Education,Health and Physical Education,,,Years 5 and 6,Movement and Physical Activity,Learning through movement,ACPMP069,Demonstrate ethical behaviour and fair play that aligns with rules when participating in a range of physical activities,
Health and Physical Education,Health and Physical Education,,,Years 7 and 8,"Personal, Social and Community Health","Being healthy, safe and active",ACPPS070,Investigate the impact of transition and change on identities,
Health and Physical Education,Health and Physical Education,,,Years 7 and 8,"Personal, Social and Community Health","Being healthy, safe and active",ACPPS071,"Evaluate strategies to manage personal, physical and social changes that occur as they grow older",
Health and Physical Education,Health and Physical Education,,,Years 7 and 8,"Personal, Social and Community Health","Being healthy, safe and active",ACPPS072,Practise and apply strategies to seek help for themselves or others,
Health and Physical Education,Health and Physical Education,,,Years 7 and 8,"Personal, Social and Community Health","Being healthy, safe and active",ACPPS073,"Investigate and select strategies to promote health, safety and wellbeing",
Health and Physical Education,Health and Physical Education,,,Years 7 and 8,"Personal, Social and Community Health",Communicating and interacting for health and wellbeing,ACPPS074,Investigate the benefits of relationships and examine their impact on their own and others’ health and wellbeing,
Health and Physical Education,Health and Physical Education,,,Years 7 and 8,"Personal, Social and Community Health",Communicating and interacting for health and wellbeing,ACPPS075,"Analyse factors that influence emotions , and develop strategies to demonstrate empathy and sensitivity",
Health and Physical Education,Health and Physical Education,,,Years 7 and 8,"Personal, Social and Community Health",Communicating and interacting for health and wellbeing,ACPPS076,Evaluate health information and communicate their own and others’ health concerns,
Health and Physical Education,Health and Physical Education,,,Years 7 and 8,"Personal, Social and Community Health",Contributing to healthy and active communities,ACPPS077,"Plan and use health practices, behaviours and resources to enhance health, safety and wellbeing of their communities",
Health and Physical Education,Health and Physical Education,,,Years 7 and 8,"Personal, Social and Community Health",Contributing to healthy and active communities,ACPPS078,Plan and implement strategies for connecting to natural and built environments to promote the health and wellbeing of their communities,Sustainability
Health and Physical Education,Health and Physical Education,,,Years 7 and 8,"Personal, Social and Community Health",Contributing to healthy and active communities,ACPPS079,Investigate the benefits to individuals and communities of valuing diversity and promoting inclusivity,
Health and Physical Education,Health and Physical Education,,,Years 7 and 8,Movement and Physical Activity,Moving our body,ACPMP080,Use feedback to improve body control and coordination when performing specialised movement skills in a variety of situations,
Health and Physical Education,Health and Physical Education,,,Years 7 and 8,Movement and Physical Activity,Moving our body,ACPMP082,"Practise, apply and transfer movement concepts and strategies with and without equipment",
Health and Physical Education,Health and Physical Education,,,Years 7 and 8,Movement and Physical Activity,Understanding movement,ACPMP083,"Participate in physical activities that develop health-related and skill-related fitness components, and create and monitor personal fitness plans",
Health and Physical Education,Health and Physical Education,,,Years 7 and 8,Movement and Physical Activity,Understanding movement,ACPMP084,"Demonstrate and explain how the elements of effort, space, time, objects and people can enhance movement sequences",
Health and Physical Education,Health and Physical Education,,,Years 7 and 8,Movement and Physical Activity,Understanding movement,ACPMP085,Participate in and investigate cultural and historical significance of a range of physical activities,
Health and Physical Education,Health and Physical Education,,,Years 7 and 8,Movement and Physical Activity,Learning through movement,ACPMP086,Practise and apply personal and social skills when undertaking a range of roles in physical activities,
Health and Physical Education,Health and Physical Education,,,Years 7 and 8,Movement and Physical Activity,Learning through movement,ACPMP087,Evaluate and justify reasons for decisions and choices of action when solving movement challenges,
Health and Physical Education,Health and Physical Education,,,Years 7 and 8,Movement and Physical Activity,Learning through movement,ACPMP088,"Modify rules and scoring systems to allow for fair play, safety and inclusive participation",
Health and Physical Education,Health and Physical Education,,,Years 9 and 10,"Personal, Social and Community Health","Being healthy, safe and active",ACPPS089,Evaluate factors that shape identities and critically analyse how individuals impact the identities of others,
Health and Physical Education,Health and Physical Education,,,Years 9 and 10,"Personal, Social and Community Health","Being healthy, safe and active",ACPPS090,Examine the impact of changes and transitions on relationships,
Health and Physical Education,Health and Physical Education,,,Years 9 and 10,"Personal, Social and Community Health","Being healthy, safe and active",ACPPS091,"Plan, rehearse and evaluate options (including CPR and first aid) for managing situations where their own or others’ health, safety and wellbeing may be at short or long term risk",
Health and Physical Education,Health and Physical Education,,,Years 9 and 10,"Personal, Social and Community Health","Being healthy, safe and active",ACPPS092,"Propose, practise and evaluate responses in situations where external influences may impact on their ability to make healthy and safe choices",
Health and Physical Education,Health and Physical Education,,,Years 9 and 10,"Personal, Social and Community Health",Communicating and interacting for health and wellbeing,ACPPS093,Investigate how empathy and ethical decision making contribute to respectful relationships,
Health and Physical Education,Health and Physical Education,,,Years 9 and 10,"Personal, Social and Community Health",Communicating and interacting for health and wellbeing,ACPPS094,Evaluate situations and propose appropriate emotional responses and then reflect on possible outcomes of different responses,
Health and Physical Education,Health and Physical Education,,,Years 9 and 10,"Personal, Social and Community Health",Communicating and interacting for health and wellbeing,ACPPS095,Critically analyse and apply health information from a range of sources to health decisions and situations,
Health and Physical Education,Health and Physical Education,,,Years 9 and 10,"Personal, Social and Community Health",Contributing to healthy and active communities,ACPPS096,"Plan, implement and critique strategies to enhance health, safety and wellbeing of their communities",
Health and Physical Education,Health and Physical Education,,,Years 9 and 10,"Personal, Social and Community Health",Contributing to healthy and active communities,ACPPS097,Plan and evaluate new and creative interventions that promote their own and others’ connection to community and natural and built environments,Sustainability
Health and Physical Education,Health and Physical Education,,,Years 9 and 10,"Personal, Social and Community Health",Contributing to healthy and active communities,ACPPS098,Critique behaviours and contextual factors that influence health and wellbeing of diverse communities,
Health and Physical Education,Health and Physical Education,,,Years 9 and 10,Movement and Physical Activity,Moving our body,ACPMP099,Provide and apply feedback to develop and refine specialised movement skills in a range of challenging movement situations,
Health and Physical Education,Health and Physical Education,,,Years 9 and 10,Movement and Physical Activity,Moving our body,ACPMP101,"Develop, implement and evaluate movement concepts and strategies for successful outcomes with and without equipment",
Health and Physical Education,Health and Physical Education,,,Years 9 and 10,Movement and Physical Activity,Understanding movement,ACPMP102,"Design, implement and evaluate personalised plans for improving or maintaining their own and others’ physical activity and fitness levels",
Health and Physical Education,Health and Physical Education,,,Years 9 and 10,Movement and Physical Activity,Understanding movement,ACPMP103,"Analyse the impact of effort, space, time, objects and people when composing and performing movement sequences",
Health and Physical Education,Health and Physical Education,,,Years 9 and 10,Movement and Physical Activity,Understanding movement,ACPMP104,"Examine the role physical activity, outdoor recreation and sport play in the lives of Australians and investigate how this has changed over time",
Health and Physical Education,Health and Physical Education,,,Years 9 and 10,Movement and Physical Activity,Learning through movement,ACPMP105,"Devise, implement and refine strategies demonstrating leadership and collaboration skills when working in groups or teams",
Health and Physical Education,Health and Physical Education,,,Years 9 and 10,Movement and Physical Activity,Learning through movement,ACPMP106,Transfer understanding from previous movement experiences to create solutions to movement challenges,
Health and Physical Education,Health and Physical Education,,,Years 9 and 10,Movement and Physical Activity,Learning through movement,ACPMP107,Reflect on how fair play and ethical behaviour can influence the outcomes of movement activities,
Work Studies,Work Studies,,,Year 9,Skills for learning and work,Learning to learn,ACWSCL001,"Outline how past learning experiences influence attitudes towards, and outcomes of, learning",
Work Studies,Work Studies,,,Year 9,Skills for learning and work,Learning to learn,ACWSCL002,"Describe the implications of individual learning preferences for learning at home, school, work and in the community",
Work Studies,Work Studies,,,Year 9,Skills for learning and work,Learning to learn,ACWSCL003,Identify the attitudes and skills required for self-directed and lifelong learning,
Work Studies,Work Studies,,,Year 9,Skills for learning and work,Learning to learn,ACWSCL004,Explain the importance of active and lifelong learning for personal and community development,
Work Studies,Work Studies,,,Year 9,Skills for learning and work,Learning to learn,ACWSCL005,Plan and implement strategies and processes to improve their learning and enhance the potential to realise their aspirations and personal wellbeing,
Work Studies,Work Studies,,,Year 9,Skills for learning and work,Work skills,ACWSCL006,"Investigate a wide range of occupations, and the skills and personal qualities required in these fields",
Work Studies,Work Studies,,,Year 9,Skills for learning and work,Work skills,ACWSCL007,Identify types of workplace communication and the effect of context on the choice of communication,
Work Studies,Work Studies,,,Year 9,Skills for learning and work,Work skills,ACWSCL008,Differentiate between work-related and personal use of social media,
Work Studies,Work Studies,,,Year 9,Skills for learning and work,Work skills,ACWSCL009,"Explain the importance of teamwork and collaboration in school, community and work-related contexts",
Work Studies,Work Studies,,,Year 9,Skills for learning and work,Entrepreneurial behaviours,ACWSCL010,Identify types of entrepreneurial behaviours and their opportunities for application to 21st century work and enterprise,
Work Studies,Work Studies,,,Year 9,Skills for learning and work,Entrepreneurial behaviours,ACWSCL011,Explain how the application of entrepreneurial behaviours can address a range of work and community challenges and provide benefits personally and to the community,
Work Studies,Work Studies,,,Year 9,Skills for learning and work,Entrepreneurial behaviours,ACWSCL012,Practise the skills and attributes underpinning entrepreneurial behaviours,
Work Studies,Work Studies,,,Year 9,Career and life design,Career development and management,ACWSCL013,Recognise the importance of self-awareness in career and life design,
Work Studies,Work Studies,,,Year 9,Career and life design,Career development and management,ACWSCL014,Source career information and resources,
Work Studies,Work Studies,,,Year 9,Career and life design,The nature of work,ACWSCL015,Describe the nature of work in Australia and the implications for current and future work opportunities,
Work Studies,Work Studies,,,Year 9,Career and life design,The nature of work,ACWSCL016,Recognise the effects of work culture on ways of working,
Work Studies,Work Studies,,,Year 9,Career and life design,Gaining and keeping work,ACWSCL017,Investigate formal and informal recruitment processes,
Work Studies,Work Studies,,,Year 9,Career and life design,Gaining and keeping work,ACWSCL018,Investigate the contribution of diverse cultures to work and workplaces,
Work Studies,Work Studies,,,Year 9,Career and life design,Gaining and keeping work,ACWSCL019,Identify the importance of rights and responsibilities for employers and workers,
Work Studies,Work Studies,,,Year 10,Skills for learning and work,Learning to learn,ACWSCL020,"Explain how potential changes in circumstances impact on when, how and why you might learn",
Work Studies,Work Studies,,,Year 10,Skills for learning and work,Learning to learn,ACWSCL021,Link personal profiles with potential work opportunities,
